Machine id,Region,Created at,Time to start,Time to respond (cold start)
5683922a599648,ams,1702370720000,7101,4179
148e433c066d08,ams,1702370720000,5658,176
e7842043cd23d8,ams,1702370720000,2240,4348
e2860eec522608,ams,1702370778000,1575,8355
148e5376bd3de8,ams,1702370778000,2175,684
56833274a6d668,ams,1702370777000,2606,20364
148e5376bd32e8,ams,1702374381000,1526,181
56833274a6de68,ams,1702374381000,1750,257
148e5312fd7598,ams,1702374381000,2069,2343
e2866ed7b6edd8,ams,1702374437000,3181,924
91852305b71338,ams,1702374438000,2095,4346
9185231ec71ee8,ams,1702374437000,3919,796
90806201b011d8,ams,1702378819000,2521,2346
17816470c25638,ams,1702378819000,1712,966
91852305b71dd8,ams,1702378819000,1815,2345
17816470c24738,ams,1702382405000,2445,2351
91852305b72ed8,ams,1702382405000,2054,8187
148e5312fd3d98,ams,1702382405000,1632,177
e7842043cd4118,ams,1702386005000,1172,6480
e2866e31c69738,ams,1702386006000,1678,247
148e5376bd1328,ams,1702386005000,1213,2248
90806274c05028,ams,1702389606000,1472,467
17816435b25148,ams,1702389606000,2737,2243
3d8d745db02408,ams,1702389606000,1473,250
4d89699c5dd5d8,ams,1702393205000,1593,2487
17816435b25648,ams,1702393205000,1261,6495
3d8d741ec013d8,ams,1702393205000,1727,244
e2866ed7b692e8,ams,1702396805000,1357,247
9185231ec72e18,ams,1702396805000,1466,244
17816435b24748,ams,1702396805000,1413,245
9185231ec72118,ams,1702400405000,2209,246
17816435b24548,ams,1702400405000,1768,509
91852305b720e8,ams,1702400405000,4764,4476
4d89d942b22de8,ams,1702404005000,3434,243
3d8d741ec00d28,ams,1702404005000,2528,481
3287366c522e68,ams,1702404005000,1806,4248
e2866ed7b695e8,ams,1702407605000,2699,481
17816435b24e48,ams,1702407605000,2118,4398
9185231ec72618,ams,1702407605000,2075,244
3d8d741ec00908,ams,1702411205000,1471,243
e7842043cde508,ams,1702411205000,2187,259
90806201b05e48,ams,1702411205000,2076,2477
56833260f66778,ams,1702414805000,3161,245
e2866ed7b66e98,ams,1702414805000,3295,245
148e5312fdd738,ams,1702414805000,2213,244
e2866ed7b66998,ams,1702418405000,2026,182
148e5312fdd138,ams,1702418405000,2359,199
9185231ec77278,ams,1702418405000,2583,180
3d8d745db00348,ams,1702422005000,4031,344
4d89d970c22518,ams,1702422005000,2701,177
17816435b22ed8,ams,1702422005000,2935,177
4d89d970c20d18,ams,1702425618000,1567,181
3d8d745db09d48,ams,1702425618000,2499,182
56833274a65718,ams,1702425618000,1979,346
e2866e31c65748,ams,1702429205000,1440,178
56833274a65d18,ams,1702429205000,1677,2183
148e5376bd03d8,ams,1702429205000,2128,180
91852305b76268,ams,1702432804000,2089,2179
9185231ec75168,ams,1702432804000,2160,344
17816470c2e4d8,ams,1702432805000,2664,179
e2866ed7b64908,ams,1702436405000,2328,180
17816435b20468,ams,1702436405000,2010,185
9185231ec75298,ams,1702436405000,2183,352
6e8242e5ced4d8,ams,1702440005000,1852,178
4d89d970c27358,ams,1702440005000,2164,178
90806274c09e98,ams,1702440005000,1646,344
4d89d970c21998,ams,1702443604000,1763,2183
6e8242e5ce1998,ams,1702443605000,1676,345
3d8d741ec9d158,ams,1702443605000,1684,343
6e8242e5c390e8,ams,1702447205000,1968,178
3d8d745db9d228,ams,1702447205000,2578,2186
4d89d970c0d4e8,ams,1702447205000,2021,4185
e2866e31c4e538,ams,1702450808000,2251,186
32875691f42348,ams,1702450808000,1952,2182
6e8242e5c392e8,ams,1702450808000,2633,180
17816470c09d38,ams,1702454404000,1915,347
e7842043c67d18,ams,1702454404000,2195,177
90806201b240d8,ams,1702454404000,2949,179
e2866e31c4e1d8,ams,1702458006000,1751,179
148e5376be7998,ams,1702458005000,2353,180
4d89d970c0d5e8,ams,1702458005000,2277,343
4d89d970c0d3e8,ams,1702461604000,2865,355
56833274a4d908,ams,1702461604000,1540,179
3d8d745db9d428,ams,1702461604000,2896,10189
