Machine id,Region,Created at,Time to start,Time to respond (cold start)
4d891120c32538,bos,1702374437000,1073,449
9080ee46fd3208,bos,1702374437000,1666,240
5683dd43be5448,bos,1702374437000,1082,241
17811106fde068,bos,1702378929000,3445,4456
17816d4dad4028,bos,1702378929000,1021,239
91852636a32528,bos,1702378929000,1141,242
4d891129a3d398,bos,1702382507000,1286,474
9080ee41c90d58,bos,1702382506000,1203,451
5683dd40f06e68,bos,1702382507000,1639,6245
6e824121ad23d8,bos,1702386078000,753,448
4d89112df755d8,bos,1702386077000,1562,2452
e2865517f36058,bos,1702386077000,1529,469
9080ee46fd3308,bos,1702389712000,1189,2470
328744d1fd1d08,bos,1702389712000,1269,4471
90806929ad5278,bos,1702389712000,1060,450
9080ee42a94758,bos,1702393264000,803,335
5683dd40f06068,bos,1702393263000,1077,471
91852636a32628,bos,1702393263000,1174,474
91857753f9e038,bos,1702396859000,1149,239
e7842d0da3e198,bos,1702396859000,1348,449
32875767be35d8,bos,1702396859000,1325,232
17811105c12118,bos,1702400463000,1360,2453
3d8d99eda40458,bos,1702400463000,1153,6237
4d89112df757d8,bos,1702400463000,1721,453
148edd65b20208,bos,1702404058000,1194,450
e2865516b05008,bos,1702404058000,1336,2468
91857753f94e38,bos,1702404058000,1061,466
148edd63c477e8,bos,1702407661000,1187,468
6e824121ad2dd8,bos,1702407661000,1030,448
328744d5be5d68,bos,1702407661000,1548,2398
91857753f94438,bos,1702411258000,1165,2467
17811105c12618,bos,1702411258000,1327,232
9185775eb97d38,bos,1702411258000,1606,2451
4d891129a36698,bos,1702414841000,1035,244
3d8d99e7c73468,bos,1702414841000,1295,2244
4d89112df751d8,bos,1702414841000,1274,451
91857753f94138,bos,1702418454000,1704,238
5683dd43be5248,bos,1702418454000,1193,2452
17811104a19518,bos,1702418454000,1420,4244
32875767be3dd8,bos,1702422051000,827,449
6e82dd34bd6178,bos,1702422052000,2644,466
4d89112df759d8,bos,1702422052000,1092,466
5683dd40f04968,bos,1702425674000,1185,289
90806929ad5978,bos,1702425674000,1187,2954
17811106fde368,bos,1702425674000,1176,229
328744d6cd0138,bos,1702429283000,1739,469
3d8d7646b71598,bos,1702429283000,1601,448
4d89de9ea7e158,bos,1702429283000,1437,465
5683dd40f04768,bos,1702432856000,1280,231
148edd62f4e7e8,bos,1702432856000,1531,229
90806929ad5e78,bos,1702432856000,1227,468
148e5939b21578,bos,1702436449000,1110,469
3d8d99eda49e58,bos,1702436449000,2257,237
e2865516b00208,bos,1702436449000,2740,239
6e82dd35f43098,bos,1702440060000,1659,449
17811106fdd768,bos,1702440060000,1739,2473
91852636a32028,bos,1702440060000,1655,449
90806929ad0468,bos,1702443657000,1254,2243
e7842d0da3d778,bos,1702443657000,1273,231
328744d5bee068,bos,1702443657000,1612,468
148edd65b22708,bos,1702447249000,2818,466
4d891129a36568,bos,1702447250000,572,472
e7842d0da3d278,bos,1702447249000,1562,451
91857752a33498,bos,1702450855000,1272,468
148e5939b2d718,bos,1702450855000,1113,470
e784ee60a521d8,bos,1702450855000,1700,2414
4d89112df774d8,bos,1702454467000,1019,230
3d8d99e7c77e68,bos,1702454467000,1744,8477
5683dd42c07558,bos,1702454467000,1187,239
90806929ad0168,bos,1702458050000,1349,230
e7842d0da3d478,bos,1702458050000,1097,240
328744d5bee668,bos,1702458050000,2308,4473
148edd65b22308,bos,1702461654000,1424,240
148edd62f4e1e8,bos,1702461654000,1110,235
328744d6cd0e38,bos,1702461654000,1700,466
