Machine id,Region,Created at,Time to start,Time to respond (cold start)
28657e6f912e78,cdg,1702378986000,1701,215
1857506f76d318,cdg,1702378986000,2561,159
781107db2e6d48,cdg,1702378986000,3251,2176
3287337f406178,cdg,1702382579000,2452,4315
6e82991c370e58,cdg,1702382579000,3040,6165
1857506f76d918,cdg,1702382578000,2490,324
683d471f652038,cdg,1702386140000,3484,304
784e67dad19558,cdg,1702386140000,3078,160
080e479a03e9e8,cdg,1702386140000,3642,2170
178199dc095018,cdg,1702389766000,3464,4323
d891241f215798,cdg,1702389766000,2676,185
3d8d336f9e2958,cdg,1702389766000,2910,16329
48ed67dcd904e8,cdg,1702393332000,2227,316
2865134a651de8,cdg,1702393331000,1529,166
918572db1602d8,cdg,1702393330000,7770,173
683d471f652338,cdg,1702396914000,2345,168
080e479a03e7e8,cdg,1702396914000,3835,161
784e67dad19058,cdg,1702396914000,3179,2167
683d47dc625268,cdg,1702400528000,2455,2319
080e479a0374e8,cdg,1702400527000,2040,311
9080e6df137028,cdg,1702400526000,7948,335
2865135b615158,cdg,1702404116000,3456,170
e286005c056768,cdg,1702404117000,10584,8319
3287337f406e08,cdg,1702404116000,2611,279
1857e3ef1e1608,cdg,1702407721000,4484,248
918572db1607d8,cdg,1702407721000,9075,466
1781162a5e3238,cdg,1702407721000,11932,172
48ed67dcd926e8,cdg,1702411327000,3641,164
683d47dc62e968,cdg,1702411327000,5413,175
2865135b610258,cdg,1702411327000,3962,6171
6e82d40c061308,cdg,1702414901000,6758,356
d8d9e16c036138,cdg,1702414901000,2687,160
080e121f141d38,cdg,1702414901000,1789,459
2865134a65d698,cdg,1702418494000,4142,308
2865135b610e38,cdg,1702418494000,3438,2319
d891090a4d4348,cdg,1702418494000,1426,179
d8d9d4db2d25e8,cdg,1702422107000,1777,346
48ed679fd05e38,cdg,1702422107000,2425,2317
3287334ce51108,cdg,1702422107000,2112,313
d8d9e16c036738,cdg,1702425723000,4906,2167
d89124eb259778,cdg,1702425723000,5076,2306
781107db2e3d08,cdg,1702425723000,4196,168
3d8d970b2363d8,cdg,1702429348000,9421,333
4d891d5a459568,cdg,1702429348000,12866,186
2874de7f157e98,cdg,1702429348000,2717,314
d8d9e19a0579d8,cdg,1702432912000,3344,329
9080e6df137328,cdg,1702432912000,3547,173
e784e25f4101d8,cdg,1702432912000,3507,175
918536ef20d068,cdg,1702436503000,7054,2186
17814d5b4363d8,cdg,1702436503000,5230,181
d8d9d4db2d26e8,cdg,1702436503000,2233,349
d8d9e19a055308,cdg,1702440118000,4687,170
7811071f266e48,cdg,1702440118000,3688,171
6e82215c215118,cdg,1702440118000,1689,8328
1857506f735738,cdg,1702443709000,2177,6331
7811544b9e1478,cdg,1702443709000,4843,322
1781162a5e3e38,cdg,1702443709000,9500,2366
e82d371fed64e8,cdg,1702447315000,3036,322
d89124eb2753e8,cdg,1702447315000,2531,2166
6e82d40c061d08,cdg,1702447314000,3706,337
784e67dad31518,cdg,1702450901000,2629,2308
d8d9e19a06d568,cdg,1702450901000,2780,2173
48ed232c363548,cdg,1702450901000,2174,351
683d471f6e5008,cdg,1702454523000,4995,181
48ed679fd20498,cdg,1702454523000,3859,2174
e82d37dce19178,cdg,1702454523000,3733,325
d89124eb2751e8,cdg,1702458119000,3752,250
e82d371fed65e8,cdg,1702458119000,2793,495
918536ef200e68,cdg,1702458119000,1457,352
148e394a343de8,cdg,1702461712000,9281,2170
e286e40c737658,cdg,1702461712000,7551,319
e82d525c092928,cdg,1702461712000,1813,2350
