Machine id,Region,Created at,Time to start,Time to respond (cold start)
56833015cd2108,iad,1702379250000,812,2522
90806193a1e5d8,iad,1702379249000,845,851
56833245bd2378,iad,1702379249000,1667,502
6e824279c03608,iad,1702382806000,1132,255
e78423d1a49d18,iad,1702382805000,814,6543
6e8245ddce7508,iad,1702382805000,2492,502
148e52ddfd7598,iad,1702386424000,758,8536
328756dec66d48,iad,1702386426000,896,272
6e824237c004e8,iad,1702386424000,2685,273
1781640ea53508,iad,1702390006000,860,489
3d8d7414a22708,iad,1702390006000,1776,12515
2865533fe04498,iad,1702390006000,2445,4264
148e5371f39e78,iad,1702393531000,1158,490
6e8245ddce02e8,iad,1702393531000,715,521
4d89d011c24ee8,iad,1702393531000,521,256
91852e77c719e8,iad,1702397120000,713,525
e2866e3ea79e98,iad,1702397120000,860,514
56833242add708,iad,1702397120000,1567,2502
784ee77c236928,iad,1702400739000,700,489
91852e72a26358,iad,1702400739000,756,6273
4d89d011c24908,iad,1702400739000,828,502
91852301f10258,iad,1702404305000,746,249
17816473a534e8,iad,1702404305000,822,249
3d8d7415a26178,iad,1702404305000,1034,2251
148e45df79d508,iad,1702407892000,4983,267
908056ec6e0708,iad,1702407891000,5168,267
568393dc726348,iad,1702407892000,5250,267
56833366a47618,iad,1702411519000,2368,4518
e784936a236478,iad,1702411519000,4824,510
148e5374c30098,iad,1702411520000,933,14502
1781477f939398,iad,1702415090000,1933,488
7811177c9de7d8,iad,1702415090000,981,536
2874902a6d1178,iad,1702415090000,3867,253
2865906be4d018,iad,1702418690000,7904,480
e784e33f250ed8,iad,1702418690000,5769,525
1857709a1eded8,iad,1702418690000,5248,252
6e824279c0de68,iad,1702422277000,791,263
3d8d7413b27008,iad,1702422277000,656,262
4d89d946c47208,iad,1702422277000,906,2266
90806243a54d08,iad,1702425902000,1224,252
328756d2f32e68,iad,1702425902000,791,252
e7842061fe73e8,iad,1702425902000,882,249
e286071ce04668,iad,1702429506000,4119,262
e7842244f62328,iad,1702429506000,1029,495
148e5373f31938,iad,1702429507000,973,8522
3d8d7415a1de58,iad,1702433096000,1234,251
4d89d947fed698,iad,1702433096000,700,2254
6e824232b02248,iad,1702433096000,838,504
48ed045c706358,iad,1702436697000,1408,262
1857492a46e248,iad,1702436698000,1600,253
2865906be52928,iad,1702436697000,1627,252
56833276b19058,iad,1702440310000,459,253
90806270a54928,iad,1702440310000,569,250
683d593c759628,iad,1702440310000,1632,246
6e82427ef29108,iad,1702443903000,836,528
e7842067c4d708,iad,1702443903000,717,2506
90806242c15e48,iad,1702443904000,916,503
e7842061fe2d68,iad,1702447508000,793,252
328756d2f30118,iad,1702447508000,1327,6256
6e824236f27e28,iad,1702447508000,897,260
1857492a46e348,iad,1702451085000,1065,254
91852353b12068,iad,1702451085000,926,2499
4d89d923fe6348,iad,1702451085000,1010,255
328756d2f36218,iad,1702454729000,1139,571
6e824236f20928,iad,1702454729000,426,485
e7842061fe4768,iad,1702454729000,1056,249
91852353b17368,iad,1702458347000,655,261
e2866e1ec76048,iad,1702458347000,694,2263
17816404c52dd8,iad,1702458347000,1171,249
4d89d947fe6ee8,iad,1702461897000,1342,603
6e82427ef272e8,iad,1702461897000,929,268
328756e9f30348,iad,1702461897000,1220,261
