Machine id,Region,Created at,Time to start,Time to respond (cold start)
3d8d923eb13478,jnb,1702379317000,2734,681
3287423ec33438,jnb,1702379316000,3072,4352
e784e197cee6d8,jnb,1702379317000,3429,679
91857490a225d8,jnb,1702382895000,6973,2658
3287423da35d78,jnb,1702382895000,5648,2664
e784e196ae1978,jnb,1702382895000,4302,6343
6e82d697c22608,jnb,1702386497000,5357,6686
4d891362fe5138,jnb,1702386496000,6268,339
3d8d923eb13578,jnb,1702386496000,7572,337
9080e357c55328,jnb,1702390086000,5195,685
5683d594a153d8,jnb,1702390086000,7673,2680
148ed046a10518,jnb,1702390086000,5489,6350
9080e354a5d468,jnb,1702393593000,2849,2683
3287423ec33e38,jnb,1702393594000,2165,4680
6e82d697c22d08,jnb,1702393593000,1521,4404
e2865903b99038,jnb,1702397183000,4790,347
91857490a223d8,jnb,1702397184000,3940,2336
3d8d923eb17d78,jnb,1702397185000,3392,12689
91857495b23438,jnb,1702400809000,3441,347
17811e90f4d918,jnb,1702400809000,5590,2347
148ed047c11498,jnb,1702400809000,7748,345
3d8d9231a11528,jnb,1702404353000,4003,341
17811e97b44698,jnb,1702404353000,6252,656
4d891364bee1e8,jnb,1702404353000,5683,683
148ed046a123e8,jnb,1702407941000,5114,343
5683d594a1ed68,jnb,1702407941000,5863,338
9080e354a5d158,jnb,1702407941000,4023,344
91857490a220e8,jnb,1702411584000,6411,346
3d8d9231a11628,jnb,1702411585000,6304,346
17811e97b44398,jnb,1702411584000,6285,681
e784e196ae3e48,jnb,1702415138000,5249,325
148ed047c11598,jnb,1702415138000,4809,639
3287423da3e308,jnb,1702415138000,6872,2334
91857490a27ee8,jnb,1702418741000,3701,637
148ed046a121e8,jnb,1702418741000,2568,2327
e2865901f90958,jnb,1702418741000,3811,655
9080e354a5de58,jnb,1702422328000,4467,648
3287423da3e908,jnb,1702422328000,5818,327
e784e196ae3948,jnb,1702422328000,2683,649
17811e90f4d618,jnb,1702425944000,5021,331
91857495b23d38,jnb,1702425944000,5582,325
e2865903b966d8,jnb,1702425944000,3428,650
4d891364be20e8,jnb,1702429581000,4862,654
6e82d693a2d108,jnb,1702429581000,2434,331
3287423da3e738,jnb,1702429581000,4858,2807
5683d594a1e358,jnb,1702433138000,4501,654
5683d597c16408,jnb,1702433138000,5801,334
9080e357c502d8,jnb,1702433138000,5371,6653
91857495b230d8,jnb,1702436737000,5274,331
e2865901f90d38,jnb,1702436737000,8577,652
148ed047c1de98,jnb,1702436737000,5216,647
91857490a276e8,jnb,1702440345000,5171,649
3d8d923eb14dd8,jnb,1702440344000,6462,5003
4d891362fe3d68,jnb,1702440345000,4830,327
17811e97b42e48,jnb,1702443957000,6161,647
9080e354a59428,jnb,1702443957000,5273,329
e784e196ae57d8,jnb,1702443957000,2351,331
e784e197ced158,jnb,1702447558000,6447,331
6e82d697c2e668,jnb,1702447557000,5638,330
3287423ec315e8,jnb,1702447557000,5363,2332
91857495b29ed8,jnb,1702451137000,4140,2330
e2865901f93238,jnb,1702451137000,3758,332
148ed047c1d268,jnb,1702451137000,4260,637
e784e196ae52d8,jnb,1702454769000,5413,655
3287423da3d038,jnb,1702454769000,7674,2655
4d891364be2708,jnb,1702454769000,4817,6336
17811e90f41938,jnb,1702458396000,3295,648
91857495b294d8,jnb,1702458396000,3499,2339
5683d597c16e38,jnb,1702458396000,3759,10657
91857490a27918,jnb,1702461937000,3296,649
e784e196ae54d8,jnb,1702461937000,3820,649
3287423da3d638,jnb,1702461937000,3607,4597
