Machine id,Region,Created at,Time to start,Time to respond (cold start)
568360ebd71708,lhr,1702379421000,9607,175
148e12eb371798,lhr,1702379421000,7286,8179
e286d72b7e9ed8,lhr,1702379421000,4516,2181
d891244c479998,lhr,1702382965000,4430,326
1781506a50d268,lhr,1702382965000,4321,2329
e286d72b7e96e8,lhr,1702382965000,2996,6346
91851edb142618,lhr,1702386566000,3917,190
148e12eb371068,lhr,1702386563000,4333,170
e286d72b7e95e8,lhr,1702386563000,4914,4180
48ed677a3466e8,lhr,1702390169000,831,169
2865133f732258,lhr,1702390170000,1859,168
e286d79a756e78,lhr,1702390171000,5911,18355
3d8dde7a297968,lhr,1702393648000,1587,2328
6e82539c7752e8,lhr,1702393648000,4854,2183
2874364c9ee708,lhr,1702393648000,170459,325
e784905fe41d38,lhr,1702397260000,4479,2489
32871d1a6727e8,lhr,1702397260000,7409,170
6e82535b019168,lhr,1702397260000,8156,321
48ed677a347628,lhr,1702400862000,1966,168
2865133f73e238,lhr,1702400862000,1778,184
3d8d311a251d98,lhr,1702400862000,7210,173
5683972fd67128,lhr,1702404399000,5363,340
7811079f560948,lhr,1702404399000,11428,175
1857509c1d5418,lhr,1702404399000,7691,6181
3d8d340b123998,lhr,1702407980000,3344,234
4d89695be45058,lhr,1702407980000,3041,235
1781942f45e028,lhr,1702407980000,2636,236
148e43eb130078,lhr,1702411634000,1863,234
568392ef1d5598,lhr,1702411634000,1947,2236
e2860e2b975578,lhr,1702411634000,1800,479
e784363b402758,lhr,1702415203000,3412,171
e784977a49e298,lhr,1702415203000,2665,326
3d8dde3cee5328,lhr,1702415203000,3850,176
908001db160648,lhr,1702418890000,12769,173
568360ebd76778,lhr,1702418890000,16708,355
568360ebd76938,lhr,1702418889000,11120,344
4d89705c462e78,lhr,1702422380000,3403,183
e784434c4e13d8,lhr,1702422380000,4691,326
3d8dde3cee5728,lhr,1702422380000,4034,2284
e2860e2b975178,lhr,1702426013000,2403,180
148e43eb130978,lhr,1702426013000,1817,2181
568392ef1d5298,lhr,1702426013000,1847,2181
3287910a601198,lhr,1702429639000,4502,174
6e82e50c07ee48,lhr,1702429639000,5016,2178
9080010c153e28,lhr,1702429639000,3989,2328
e784369c229918,lhr,1702433221000,3196,178
32871d3f009948,lhr,1702433221000,3476,188
6e82539c7755e8,lhr,1702433221000,3511,182
6e82977a052ed8,lhr,1702436816000,4248,2320
9185909c19d228,lhr,1702436816000,6018,322
e784363b402e08,lhr,1702436816000,1642,340
148e120a30ede8,lhr,1702440406000,2219,2338
1781113a229498,lhr,1702440406000,8611,377
080e477f195348,lhr,1702440406000,1469,335
4d89020b496918,lhr,1702444008000,1644,167
3d8ddedb26e648,lhr,1702444008000,1907,165
e286d79a754058,lhr,1702444008000,2472,244
9080577c1e0268,lhr,1702447627000,4486,320
2874de3c69e718,lhr,1702447627000,2245,2993
784e679b493068,lhr,1702447627000,2282,2322
568360ebd7e628,lhr,1702451194000,3310,191
148e12eb372d58,lhr,1702451194000,3300,2183
e286d72b7e0428,lhr,1702451194000,3168,172
9080013a132e28,lhr,1702454835000,2441,318
4d89705c467528,lhr,1702454835000,3911,170
3d8d5d0f2e7318,lhr,1702454835000,6349,194
1781942f45d3e8,lhr,1702458462000,1484,179
3d8d340b127678,lhr,1702458462000,1545,331
1781505b5354d8,lhr,1702458462000,4308,344
d891244c432418,lhr,1702462009000,2624,2323
148e121c314768,lhr,1702462009000,4004,329
9080575f197268,lhr,1702462009000,1846,339
