Machine id,Region,Created at,Time to start,Time to respond (cold start)
4d89d09db6d558,nrt,1702379505000,3023,2193
6e824524b796d8,nrt,1702379505000,2428,8109
148e5233f76658,nrt,1702379505000,7022,160
148e5235a76278,nrt,1702383032000,2551,95
e7842303a27458,nrt,1702383032000,2407,2186
32875161b026e8,nrt,1702383032000,2958,8104
17816545f97448,nrt,1702386652000,1909,98
91852e3ea4e218,nrt,1702386652000,2390,4100
3d8d7d47aed798,nrt,1702386652000,2142,4180
4d89d09db6d738,nrt,1702390255000,1079,10187
56833020f79138,nrt,1702390256000,2450,8102
90806121f645e8,nrt,1702390256000,1039,95
148e5235a76418,nrt,1702393947000,2764,99
56833023b790d8,nrt,1702393946000,3160,97
90806126b64968,nrt,1702393946000,2418,95
148e5232b76e68,nrt,1702397333000,3421,94
56833020f79638,nrt,1702397333000,2620,94
90806122c64198,nrt,1702397333000,2429,167
90806126b64e68,nrt,1702400909000,4558,300
e7842302c27978,nrt,1702400909000,4512,105
17816545f97048,nrt,1702400909000,4113,177
56833022c79128,nrt,1702404458000,2396,162
32875165a02978,nrt,1702404458000,3440,95
6e824524b79558,nrt,1702404458000,3464,173
17816546b973e8,nrt,1702408028000,2032,174
32875161b025e8,nrt,1702408028000,2597,2180
6e824525f79668,nrt,1702408028000,2698,4098
e7842300b27d38,nrt,1702411708000,5159,87
90806121f643e8,nrt,1702411708000,3652,185
32875166f02158,nrt,1702411708000,3768,2166
e28667eece2428,nrt,1702415257000,4095,2101
e28667e7fe20e8,nrt,1702415257000,2117,94
148e5235a77618,nrt,1702415257000,2205,103
90806122c64298,nrt,1702418938000,29648,2189
e7842302c22278,nrt,1702418938000,116991,791
90806126b66668,nrt,1702418938000,121948,108
e7842303a27908,nrt,1702422446000,2511,8185
56833022c79298,nrt,1702422446000,2029,87
90806122c64978,nrt,1702422446000,2999,87
32875161b02798,nrt,1702426065000,4666,93
6e824525f79148,nrt,1702426064000,1802,4180
e7842303a27008,nrt,1702426065000,4303,4101
148e5232b77638,nrt,1702429704000,3475,175
e28667e7fee298,nrt,1702429704000,5295,2178
91852e32c44758,nrt,1702429704000,2167,173
3d8d7d47aee958,nrt,1702433276000,2220,195
17816544c97328,nrt,1702433276000,2319,100
91852e33b4e028,nrt,1702433276000,2179,2163
90806126b66358,nrt,1702436886000,2947,2195
e28667eecee278,nrt,1702436885000,4064,91
148e5233f77678,nrt,1702436885000,3142,87
17816546b99d18,nrt,1702440449000,2553,92
91852e32c44338,nrt,1702440449000,3346,94
4d89d090f66e78,nrt,1702440449000,2495,2180
32875166f006d8,nrt,1702444054000,5029,4090
6e824522c770d8,nrt,1702444054000,4638,196
17816545f99208,nrt,1702444054000,3814,94
6e824524b77598,nrt,1702447681000,3298,6184
56833020f77478,nrt,1702447681000,3253,94
17816544c99428,nrt,1702447681000,3062,2436
6e824524b77198,nrt,1702451236000,3247,4183
32875166f003d8,nrt,1702451236000,2775,2088
e7842300b22e98,nrt,1702451236000,2265,89
e28667e6be7258,nrt,1702454892000,2224,6200
e28667eecee478,nrt,1702454891000,1970,93
91852e33b44528,nrt,1702454892000,2084,87
32875166f00478,nrt,1702458522000,3113,93
91852e3ea44368,nrt,1702458522000,2331,181
e7842300b22178,nrt,1702458522000,2811,86
6e824522c77658,nrt,1702462067000,2373,188
32875165a06608,nrt,1702462067000,2282,107
6e824524b70098,nrt,1702462067000,4414,4108
