Machine id,Region,Created at,Time to start,Time to respond (cold start)
9080763a007087,scl,1702379750000,8592,362
17811612a09798,scl,1702379751000,3210,368
32874557b19198,scl,1702379751000,2746,2675
568373eb61ed8e,scl,1702383181000,8770,2720
9080e669f0e248,scl,1702383180000,1795,674
908076db05d687,scl,1702383180000,10004,4724
e78473dfd25d83,scl,1702386842000,2449,6754
32874540a40248,scl,1702386843000,1573,2361
e784e2e5b62718,scl,1702386843000,1871,2730
148ed5deae7698,scl,1702390386000,1757,8366
9080719f069287,scl,1702390386000,2224,4711
4d89106f4e5387,scl,1702390387000,8603,2665
e784e39a4e3783,scl,1702394063000,2917,2739
e286374c6e3386,scl,1702394062000,3601,380
4d894d5a2e7387,scl,1702394063000,2584,722
3d8d9776f05938,scl,1702397464000,2442,2674
178175df291389,scl,1702397464000,2416,10687
5683d09bd1ed8e,scl,1702397464000,2333,334
4d891ddeb21078,scl,1702401016000,3484,4676
148e75ebd14189,scl,1702401016000,3829,399
3287e52a142685,scl,1702401016000,4185,368
148e750ade6089,scl,1702404569000,4928,356
5683735a64948e,scl,1702404569000,4200,360
1781762b241e89,scl,1702404569000,2449,364
5683701f67258e,scl,1702408167000,3572,380
e784725bde9783,scl,1702408167000,2188,719
178176ea207689,scl,1702408166000,4560,713
4d894d3c206d87,scl,1702411817000,8272,722
6e82746ae37787,scl,1702411818000,2592,4708
91850e6b740e83,scl,1702411817000,3209,2697
3d8d9776f05338,scl,1702415373000,340,10750
e784e39a4e5783,scl,1702415382000,999,654
3287e52a140685,scl,1702415382000,2225,705
e2865652f4e7d8,scl,1702419366000,8162,710
6e82751fe71e87,scl,1702419366000,9084,2362
3287e17f107485,scl,1702419367000,7257,714
e78473dfd20183,scl,1702422584000,3721,696
5683735a64748e,scl,1702422585000,4122,358
148ed24b314189,scl,1702422584000,4914,332
3d8d172a09e689,scl,1702426179000,3964,696
3d8d9d3c214789,scl,1702426179000,3711,336
e286362f69d686,scl,1702426179000,3631,348
9080e669f0ed48,scl,1702429840000,2329,690
3287413b63d785,scl,1702429840000,3411,657
178175df257989,scl,1702429840000,3518,2695
e784721ad64e83,scl,1702433391000,4328,707
e2865664c61098,scl,1702433391000,2902,378
32874540a40348,scl,1702433391000,4054,2728
4d894d5a2e9387,scl,1702437023000,3628,677
9080763a021087,scl,1702437023000,3721,357
9080e6edb265d8,scl,1702437023000,4204,726
5683701f6d908e,scl,1702440578000,2452,364
148e729fd36989,scl,1702440578000,3843,363
e784725bdd7783,scl,1702440578000,2835,730
9185727da547e8,scl,1702444207000,3013,710
4d891ddeb21778,scl,1702444207000,2824,691
e286374c672d86,scl,1702444207000,3626,716
e286570f791686,scl,1702447818000,3469,336
17811612a09298,scl,1702447818000,3880,719
91850e6b714e83,scl,1702447818000,3634,367
32874557b19e98,scl,1702451358000,1897,2353
4d8940eb246e87,scl,1702451358000,2033,698
1781159f546e89,scl,1702451358000,4732,660
3d8d170b00d789,scl,1702455004000,4032,680
e78473dfd42183,scl,1702455004000,2647,355
9080719f016d87,scl,1702455004000,3421,368
4d894d5a22d387,scl,1702458654000,3677,688
5683d331b62078,scl,1702458654000,2637,357
1781159f546189,scl,1702458654000,4326,328
e784e2e5b62d18,scl,1702462201000,3007,370
3d8d172a091e89,scl,1702462201000,2589,4363
e286374c67ed86,scl,1702462201000,4331,4700
