Machine id,Region,Created at,Time to start,Time to respond (cold start)
3d8d9652b21098,syd,1702380002000,7900,8199
e7842072a63583,syd,1702380002000,7554,4199
4d89172da44518,syd,1702380002000,7394,14207
4d891e73b4e258,syd,1702383410000,3803,12207
32875659c53685,syd,1702383411000,8195,4198
90806147a39987,syd,1702383411000,4748,4198
e784ed41a4ed98,syd,1702387179000,2012,109
4d8913eebee118,syd,1702387179000,7947,349
90806271c55187,syd,1702387179000,2253,202
148e5264c0d989,syd,1702390655000,9013,203
3d8d7de1f35189,syd,1702390655000,2321,201
56833270a1118e,syd,1702390655000,2508,10213
17816463fe4689,syd,1702394257000,4017,158
91852321a62983,syd,1702394257000,3430,157
328751dea59585,syd,1702394257000,3512,8313
3d8d7416a17289,syd,1702397677000,8711,197
148ed165a332d8,syd,1702397676000,4570,103
e2865d16a77048,syd,1702397676000,3733,110
4d89d9d7f52d87,syd,1702401205000,3077,108
3d8d926dc19d78,syd,1702401206000,7689,4349
3d8d9652b21998,syd,1702401205000,2049,2194
90806279a5dd87,syd,1702404785000,5223,2196
9080eed0be16d8,syd,1702404785000,9981,2345
91852302a5d783,syd,1702404785000,4161,4111
17816509cee989,syd,1702408356000,5604,198
148e5351c0d089,syd,1702408356000,2664,2202
32874277f31228,syd,1702408356000,3365,2342
e286552dc17ed8,syd,1702412006000,5372,344
328751dea57585,syd,1702412006000,5714,203
17816475c42689,syd,1702412005000,3540,200
3d8d7475c30689,syd,1702415576000,1997,107
148e5267a05589,syd,1702415576000,2335,194
148e5263f09789,syd,1702415576000,2365,105
90806147ad4987,syd,1702419563000,15728,194
4d89d9d7f55d87,syd,1702419563000,55408,201
e784207dfe9183,syd,1702419563000,66362,106
328751d3c5ee85,syd,1702422749000,3890,105
e7842369b13583,syd,1702422749000,3056,2104
9185230eb26983,syd,1702422749000,2482,200
6e82d611f2e918,syd,1702426352000,3553,4351
e2866710c53e86,syd,1702426352000,3963,10213
9080e391f52168,syd,1702426352000,5214,12362
328756e1b3e685,syd,1702429999000,1958,2201
e7842072a17083,syd,1702429999000,3593,103
148edde1a93198,syd,1702429999000,2883,4348
56833273c5778e,syd,1702433579000,4718,2105
56833047fe728e,syd,1702433579000,3866,2198
e2865944b96e48,syd,1702433579000,3786,2345
4d89d94da56787,syd,1702437211000,3331,110
56833271a1308e,syd,1702437210000,3914,107
90806279a57d87,syd,1702437210000,2537,2116
6e82d611f2e718,syd,1702440765000,4742,343
56833049b5038e,syd,1702440765000,4029,540
4d89d940be3d87,syd,1702440765000,2349,109
6e824537fd0387,syd,1702444385000,4780,193
90806276f31487,syd,1702444385000,3710,4110
6e824275b24787,syd,1702444385000,5194,2108
148ed099f1d3d8,syd,1702448009000,3513,343
56833273c5d78e,syd,1702448010000,3409,4202
3d8d7de4a7d989,syd,1702448009000,3800,103
17811123a65098,syd,1702451547000,3459,183
3d8d9905b52928,syd,1702451547000,3464,178
90806271c59087,syd,1702451547000,2155,107
56833047fed28e,syd,1702455186000,2110,4196
90806145c3ee87,syd,1702455186000,5196,2501
e7842369b19583,syd,1702455186000,6812,6211
9080eed0be12d8,syd,1702458852000,3901,345
e2866710c5de86,syd,1702458852000,4982,102
148e5264c05689,syd,1702458852000,6544,108
5683d510b141d8,syd,1702462425000,4889,343
91857614c12328,syd,1702462425000,5178,108
e28654d9a79078,syd,1702462425000,3834,102
