Machine id,Region,Created at,Time to start,Time to respond
1857e3ef491e58,cdg,1699888605000,6660,12198
5683d3ecd69948,cdg,1699888605000,8691,34214
48ed233a7ee628,cdg,1699888605000,5539,40219
d89109dcee6158,cdg,1699889610000,4092,12366
4d899e6c47d948,cdg,1699889610000,6079,16219
e286562b762208,cdg,1699889610000,11269,32705
d891090a634d38,cdg,1699890394000,2264,8388
7811544b900738,cdg,1699890393000,2221,10353
3287334ce00018,cdg,1699890394000,7400,14269
6e82215c259368,cdg,1699891310000,5876,16195
e82d371fe90e68,cdg,1699891310000,5297,20846
2874de7f1261e8,cdg,1699891310000,6154,22277
e82d525c740958,cdg,1699892183000,2486,10364
683d47dc6d3358,cdg,1699892183000,4545,20267
d891099b600668,cdg,1699892183000,2405,52395
2874166a044038,cdg,1699893083000,1415,14291
e78499ea322268,cdg,1699893084000,2249,16266
080e126b556e78,cdg,1699893084000,1739,26296
148e394a326548,cdg,1699894040000,2275,12192
7811546c449328,cdg,1699894040000,1725,46527
9185997a344408,cdg,1699894040000,2728,56304
781107db275e48,cdg,1699894947000,1568,14532
5683993b47ed78,cdg,1699894947000,7170,24283
e82d37dce29708,cdg,1699894946000,2343,66320
080e121f692e48,cdg,1700128906000,3684,4329
3287673b6ed328,cdg,1700128906000,369,8191
6e8299dad71d28,cdg,1700128907000,1579,16262
3287337f1e6d08,cdg,1700130708000,5912,24278
3d8d337a929938,cdg,1700130708000,2300,46527
781107db299508,cdg,1700130706000,458,56301
683d023f169ed8,cdg,1700132526000,393,14182
080e47eb05ed28,cdg,1700132526000,1021,34874
e286562b761208,cdg,1700132525000,11112,32212
e286005c0ed018,cdg,1700145147000,3669,6256
784e67dad22408,cdg,1700145148000,2596,14256
1857e3ef495d78,cdg,1700145147000,1209,48218
4d8966da040578,cdg,1700146910000,761,12503
3d8d337a929338,cdg,1700146910000,428,14294
1857506f744278,cdg,1700146910000,402,26269
3d8d339c7e64e8,cdg,1700148776000,3494,14512
148e392f199698,cdg,1700148777000,1346,22346
2874161c0d4998,cdg,1700148775000,913,44212
e784e25f4d92e8,cdg,1700150530000,2413,32879
9080556a212d48,cdg,1700150529000,2942,40290
9080e6df10e608,cdg,1700150530000,5418,56713
683d020c704378,cdg,1700152309000,1963,16186
148ed5ec3d9708,cdg,1700152310000,2770,40213
48ed235f1d6418,cdg,1700152309000,1829,50218
e82d37dce255e8,cdg,1700154124000,1978,8271
d891241f2e11e8,cdg,1700154124000,1802,10255
080e479a066048,cdg,1700154124000,461,24277
5683219bde0618,cdg,1700155932000,3016,14185
2874de4c139948,cdg,1700155932000,2629,18286
148e44dc275448,cdg,1700155933000,5506,24270
080e47eb05eed8,cdg,1700157768000,2632,24511
e82d524f2e9458,cdg,1700157768000,1901,28358
178199dc2d5618,cdg,1700157768000,2337,46294
48ed67dcd19998,cdg,1700159549000,2139,8910
2874161c0d4798,cdg,1700159549000,2343,12333
e82d525c743148,cdg,1700159549000,1688,14186
3d8d463c274048,cdg,1700161312000,2432,26200
2865135b6911d8,cdg,1700161312000,2618,40289
9080559f0d1758,cdg,1700161313000,3173,42292
568399dae732e8,cdg,1700163151000,2406,26525
9185992b515968,cdg,1700163151000,2740,28534
e286006a474348,cdg,1700163151000,3914,30284
9080e6df10e108,cdg,1700164943000,5342,16577
e286005c0ed118,cdg,1700164942000,3765,30868
9185997a340d08,cdg,1700164943000,3298,32292
080e479a066248,cdg,1700166734000,1628,14262
28657e7ce35298,cdg,1700166735000,1639,14203
178199dc2d5318,cdg,1700166734000,2123,50519
784e67ebde9018,cdg,1700168532000,1981,22280
918572db17d198,cdg,1700168531000,3284,24201
148e392f199798,cdg,1700168532000,176,28198
3d8d339c7e66e8,cdg,1700170325000,2659,22262
e286e47b911ed8,cdg,1700170325000,2149,36213
9080295b1d9218,cdg,1700170325000,3481,43025
4d89661c769948,cdg,1700172121000,2535,12258
7811545a91e708,cdg,1700172121000,1397,22211
1857e3ef496e78,cdg,1700172121000,2127,22202
784e302bed2778,cdg,1700173895000,1825,20342
6e82d40c0e5278,cdg,1700173895000,4273,22193
6e8299dad71138,cdg,1700173895000,2012,36517
2874161c0d5298,cdg,1700175724000,2258,12193
9080556a212e18,cdg,1700175724000,2588,16258
48ed235f1d7618,cdg,1700175724000,1357,18190
3287671c399648,cdg,1700177524000,1721,10194
4d891d5a4212d8,cdg,1700177524000,5022,22197
6e82d40c0e5e78,cdg,1700177524000,5237,24196
e784e25f4d9de8,cdg,1700179290000,3520,16970
9185997a31ee48,cdg,1700179290000,3630,22266
9080559f0d5158,cdg,1700179290000,3000,38282
148e392f199398,cdg,1700181162000,1427,14337
148e449fd213e8,cdg,1700181162000,2314,16257
9080e6df10e008,cdg,1700181162000,3935,30360
178199dc2d4518,cdg,1700182905000,2295,14555
17814d9c5d10d8,cdg,1700182905000,1665,20193
7811546c4299e8,cdg,1700182905000,1846,42396
d891090a635478,cdg,1700184744000,1096,12196
e286e47b9117d8,cdg,1700184744000,2196,20200
3287335a464728,cdg,1700184744000,2683,64308
3d8d336f071258,cdg,1700186505000,2544,4471
918536ef2dd2e8,cdg,1700186504000,3162,18371
e82d524f2e7758,cdg,1700186505000,2665,28205
d89124eb266578,cdg,1700188306000,1447,14483
6e8299dad09938,cdg,1700188306000,3665,14261
178199dc2d4538,cdg,1700188306000,2923,58297
6e82991ced2208,cdg,1700190080000,1295,44294
784e302bed2448,cdg,1700190080000,1771,46220
2874165f310608,cdg,1700190080000,2763,46247
9080291c5ee0d8,cdg,1700191913000,1303,18191
1857e3ef496768,cdg,1700191913000,1442,24377
3d8d463c274948,cdg,1700191913000,2073,37013
d891099b656038,cdg,1700193765000,3378,8330
9185997a31e548,cdg,1700193764000,1864,14260
3287671c399448,cdg,1700193763000,1370,28213
3d8d46db155328,cdg,1700195618000,3497,14362
d89109dce26798,cdg,1700195618000,1642,36203
918572db17dd08,cdg,1700195618000,3405,44382
2874165f310708,cdg,1700197322000,1449,6175
48ed232c7409d8,cdg,1700197322000,2465,28210
e286004f606238,cdg,1700197322000,3470,50521
e82d371fe70678,cdg,1700199120000,2241,8496
9080559f0d01d8,cdg,1700199120000,3146,12778
1781162a523978,cdg,1700199119000,8846,26200
683d023f16dd58,cdg,1700200933000,777,10335
3d8d337a927d68,cdg,1700200933000,2183,34861
4d8966da0476d8,cdg,1700200933000,2012,42289
6e8299dad072d8,cdg,1700202719000,2454,26264
3287334ce603d8,cdg,1700202719000,2513,26266
17814d5b463748,cdg,1700202719000,1620,46427
d89124eb26edd8,cdg,1700204502000,2127,8475
e82d525c74d378,cdg,1700204502000,1533,12367
e78499ea342d98,cdg,1700204502000,1347,46285
