Machine id,Region,Created at,Time to start,Time to respond
91857056fd3e78,dfw,1699888681000,2315,4469
d8d9904b267048,dfw,1699888680000,3725,50294
4d890e1f5d1287,dfw,1699888681000,1907,68304
3287174c529585,dfw,1699889673000,1009,30280
2865332ce22708,dfw,1699889673000,3023,38284
683dde9bd21278,dfw,1699889673000,3413,38276
d891156f41e178,dfw,1699890445000,1720,18476
e82dd02a01d318,dfw,1699890445000,802,40275
d891159b497018,dfw,1699890445000,1573,44296
148e422c232489,dfw,1699891357000,6576,10463
e7843deb179383,dfw,1699891357000,1077,22268
286533dbe23748,dfw,1699891357000,4973,28503
d8d91e9aed9258,dfw,1699892277000,2516,10248
1781557b92e728,dfw,1699892276000,2588,14259
148e425f767918,dfw,1699892276000,4567,16259
e82d770c799278,dfw,1699893130000,1107,12235
5683d741a2e778,dfw,1699893130000,1276,22255
4d89004a625d58,dfw,1699893130000,425,26284
7811773f9714d8,dfw,1699894118000,1057,16900
e784933a349683,dfw,1699894118000,1908,22475
91857004a06698,dfw,1699894118000,1644,52478
9185ee0b476158,dfw,1699895055000,1482,10247
e82dd02a01d578,dfw,1699895055000,1540,16344
080e74ea642258,dfw,1699895055000,1146,34481
9080196a9ed087,dfw,1700128948000,5224,24263
784e774a2210e8,dfw,1700128949000,1201,32266
91859eea94e083,dfw,1700128949000,13107,26263
784e76ea224798,dfw,1700130789000,965,10443
080e74ea661478,dfw,1700130790000,1184,14237
e286076fe21928,dfw,1700130787000,4597,24647
3d8dd67c457689,dfw,1700132592000,2286,14248
17815d6b16d689,dfw,1700132590000,4505,26488
4d89600b366487,dfw,1700132590000,1598,32268
7811124b47e678,dfw,1700145231000,3257,8241
1781955a194789,dfw,1700145232000,248,2460
1857057c441128,dfw,1700145235000,907,32258
683d775f796048,dfw,1700146960000,450,14257
e82d73db7700d8,dfw,1700146960000,380,24493
d891156f494578,dfw,1700146963000,1148,26254
18577d3a2e6d08,dfw,1700148853000,1146,28257
d891445a6d13d8,dfw,1700148853000,1550,48272
3d8ddd1ae90078,dfw,1700148853000,1229,52302
3d8d3d7fed5018,dfw,1700150623000,1817,14241
4d8960da6d1228,dfw,1700150623000,1609,14263
